"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"R0000100","R0000100","integer","integer",".",".","",""
"R0003300","R0003300","integer","integer","1","1","",""
"R0003300","R0003300","integer","integer","2","2","",""
"R0003300","R0003300","integer","integer","3","3","",""
"R0003300","R0003300","integer","integer","4","4","",""
"R0003300","R0003300","integer","integer","5","5","",""
"R0003300","R0003300","integer","integer","6","6","",""
"R0003300","R0003300","integer","integer",".",".","",""
"R0005700","R0005700","integer","integer",".",".","",""
"R0060300","R0060300","integer","integer",".",".","",""
"R1051600","R1051600","integer","integer","-5","-5","",""
"R1051600","R1051600","integer","integer","-4","-4","",""
"R1051600","R1051600","integer","integer","9","9","",""
"R1051600","R1051600","integer","integer","10","10","",""
"R1051600","R1051600","integer","integer","11","11","",""
"R1051600","R1051600","integer","integer","12","12","",""
"R1051600","R1051600","integer","integer","13","13","",""
"R1051600","R1051600","integer","integer","14","14","",""
"R1051600","R1051600","integer","integer","15","15","",""
"R1051600","R1051600","integer","integer","16","16","",""
"R1051600","R1051600","integer","integer","17","17","",""
"R1051600","R1051600","integer","integer","18","18","",""
"R1051600","R1051600","integer","integer",".",".","",""
"R1302000","R1302000","integer","integer","-5","-5","",""
"R1302000","R1302000","integer","integer","-4","-4","",""
"R1302000","R1302000","integer","integer","0","0","",""
"R1302000","R1302000","integer","integer","1","1","",""
"R1302000","R1302000","integer","integer",".",".","",""
"R1302100","R1302100","integer","integer",".",".","",""
"R1303400","R1303400","integer","integer",".",".","",""
"R6235600","R6235600","integer","integer",".",".","",""
"R6502300","R6502300","integer","integer","-4","-4","",""
"R6502300","R6502300","integer","integer","1","1","",""
"R6502300","R6502300","integer","integer","3","3","",""
"R6502300","R6502300","integer","integer","14","14","",""
"R6502300","R6502300","integer","integer",".",".","",""
"R6513700","R6513700","integer","integer",".",".","",""
"R6516200","R6516200","integer","integer","-5","-5","",""
"R6516200","R6516200","integer","integer","1","1","",""
"R6516200","R6516200","integer","integer","3","3","",""
"R6516200","R6516200","integer","integer","4","4","",""
"R6516200","R6516200","integer","integer","5","5","",""
"R6516200","R6516200","integer","integer","6","6","",""
"R6516200","R6516200","integer","integer",".",".","",""
"R6520300","R6520300","integer","integer","-5","-5","",""
"R6520300","R6520300","integer","integer","-4","-4","",""
"R6520300","R6520300","integer","integer","-2","-2","",""
"R6520300","R6520300","integer","integer","-1","-1","",""
"R6520300","R6520300","integer","integer","1","1","",""
"R6520300","R6520300","integer","integer","2","2","",""
"R6520300","R6520300","integer","integer","3","3","",""
"R6520300","R6520300","integer","integer","4","4","",""
"R6520300","R6520300","integer","integer","5","5","",""
"R6520300","R6520300","integer","integer","6","6","",""
"R6520300","R6520300","integer","integer","7","7","",""
"R6520300","R6520300","integer","integer","8","8","",""
"R6520300","R6520300","integer","integer","9","9","",""
"R6520300","R6520300","integer","integer","10","10","",""
"R6520300","R6520300","integer","integer","11","11","",""
"R6520300","R6520300","integer","integer",".",".","",""
"R6553600","R6553600","integer","integer","-5","-5","",""
"R6553600","R6553600","integer","integer","-4","-4","",""
"R6553600","R6553600","integer","integer","-2","-2","",""
"R6553600","R6553600","integer","integer","-1","-1","",""
"R6553600","R6553600","integer","integer","4","4","",""
"R6553600","R6553600","integer","integer","5","5","",""
"R6553600","R6553600","integer","integer","6","6","",""
"R6553600","R6553600","integer","integer","7","7","",""
"R6553600","R6553600","integer","integer","8","8","",""
"R6553600","R6553600","integer","integer","11","11","",""
"R6553600","R6553600","integer","integer",".",".","",""
"R7289200","R7289200","integer","integer","-5","-5","",""
"R7289200","R7289200","integer","integer","-4","-4","",""
"R7289200","R7289200","integer","integer","-2","-2","",""
"R7289200","R7289200","integer","integer","-1","-1","",""
"R7289200","R7289200","integer","integer","0","0","",""
"R7289200","R7289200","integer","integer","1","1","",""
"R7289200","R7289200","integer","integer",".",".","",""
"R7289400","R7289400","integer","integer","-5","-5","",""
"R7289400","R7289400","integer","integer","-4","-4","",""
